id	text	Anger	Disgust	Fear	Sadness	Joy	Surprise
amh_dev_track1_1	ድሮስ ከካፊር ምን ይጠበቃል እንኳን ቃል ማጠፍ ስንቱን ግፍ እየሰሩ	1	0	0	0	0	0
amh_dev_track1_2	ይገልብጥህ ! ደንቆሮ ካድሬ ! ተንኮል ብታቆሙ ይሄኔ ብዙ ነገር ትሰሩ ነበር፡፡ እብሪት እና ነውጠኝነት የት እንደሚያደርሳችሁ እናያለን፡፡	1	1	0	0	0	0
amh_dev_track1_3	ወዳጀ ጅሀር አሁን የአማራው አጀንዳ ላለፈው 60 እና 100 ዓመት ኦነግና ወያኔ ያደቀቀውን አማራ ወደ ቦታው ለመመለስ 1 የ1983 ዓም የቆንቆ ፊድሪሽን ማፍረስና በአዲስ ፍታዊ ህገ መንግሥት መተካት 2 አማራው በእግዚአብሔር ሀይል በጉልበቱ በሃይሉ በጠንቃራ አደረጃጀት እራሱን አስከብሮ ኢትዮጵያን ወደ ክብሮ ይመልሳል ጁሀር ብዙ ነገር ይደብቃል ኦነጎቹ ወያኔወቹ አማራን ለማጥፍት ያልፈነቀሉት ድንጋይ አልነበረም ውሸት ይናዳል በእግዚአብሔር እር	1	0	0	0	0	0
amh_dev_track1_4	ይህንን መልክና ቁመና የሰጠው አምላክ መልካም ነገር አንድነት ለፍቅርና ሰላም እንዲያስብ ያድርግልን የብሄር ጥላቻና የተዛባ መልእክት ያልተማረውን አማ	0	0	0	0	0	0
amh_dev_track1_5	በጣም የሚገርም ነው የትኛውን የ Community standard ነው ይህ መግለጫ የጣሰው? ያበሳጫል	1	0	0	1	0	0
amh_dev_track1_6	[ በልቦቻችን ላይ ቅንጣት ሀዘንን አታስቀርብን ፡ ወደ ደስታ የቀየርክልን ቢሆን እንጂ! ያአሏህ	0	0	0	0	1	0
amh_dev_track1_7	የኛ ቀይ ባህር ሁመራ ነው አለችኮ የለመደች ጦጣ ሁልግዜ ፍርጠጣ አለ ያገሬ ሰው ክክያንች ያልነበረን ያንች ያልሆነን መመኘት ቢቀርብሽ ጥሩ ነው  ያንች ቀይ ባህርሽ ሲሆን ለኛ ደገሞ ቀይ መስመራችን ነው ምክኒያቱም የራሳችንን እንደት አሳልፈን መስጠት ከየት የመጣ ነው እነ ቀንድ አውጣዎችም የናተ ታዛዦችም ምንም በአሁኑ ሰዓት በልጆቹ ተጋድሎ ላይመለሱ ተወግደዋል	1	1	0	0	0	0
amh_dev_track1_8	አረ እባካችሁ በእግዚአብር አምሣል የተፈጠረውን የሰው ልጅአውሬ እያላችሁ የምትሣደቡ አሞአችሗል መናችሁን የሚያማችሁ አረ ሰድብ የኢትዮጵያውያን ባህል ህነወይ እግዚአብሐርን ፍሩአንዲህ አይነት ጠቅላይ ሚኒሥትር አይተን አናውቅም ብተሠድቡትም ብትረግሙት አይደርስበትም የእግዚአበሔር ልጅ ስለሆነ አብይን ጠባቂ የማይተኛ የማያንቀላፋ ሰለሆነ ምንም አይነካውም ግፍ ነው ያለፈፈው የመንግሥታት አንባ አላልቅብን ብሏል ጌታ ይጠብቃቸሁ አኔ ግን አብይን	1	0	0	1	0	0
amh_dev_track1_9	ጀግኖች የመኖች  የሀማስ ታናሽ ወንድሞች የሂዝቡላህ ድል ለፍልስጤም ሞት ለእስራኤል ለሰው በላ ሰይጣኖች ጃልማሮ እና እስራኤል እሴት እና እህፃን ላይ ነው ወንድነታቸው ንፍሮውች	1	1	0	0	0	0
amh_dev_track1_10	ይሄ ፔጅ ግን አላማው ምንድን ነው ኝኝኝ አላችሁ እናተ የምዘግቡት ሌላ አለም የሚዘግበው ሌላ🤐🤐🤐	1	1	0	0	0	0
amh_dev_track1_11	ጀግንነታቸውን ሳላደንቅ አላልፍም	0	0	0	0	1	0
amh_dev_track1_12	እናንተ የምድር ነጃሳ ሰው መሳይ አውሬዎች ምነው ሂትለር እንደጀመረው ከምድረ ገፅ አጥፍቷችሁ ቢሆን እናንተ የተረገማችሁ እስራኤላውያን አይደለም እየረገጣችሁ እየጨቆናችሁ እየገደላችሁ ሃገራቸውን የወረራችሁባቸው ፍልስጤማውያን ቀርቶ በአካል ባገኛችሁ የሂትለርን ጅምር ስራ እኔ አጠናቅቅቅለት ነበር ግን ጠብቁ እናንት አሸባሪዎች አሜሪካንንን ተማምናችሁ አትቀሩም የአላህ በላ በእናንተ ላይ ይወርዳል !	1	1	0	0	0	0
amh_dev_track1_13	ግብዝ አመራሮች አሉ ሀገር መምራት ምን እደሆነ ማይገባቸዉ ወደ መንደራቸዉ ብቻ ሚያስቡ ጀዋር መሀመድ የዘመኑ ምርጥ ንግግር ዘርህ ይባረክ የኦሮሞን ታሪክ ሚያጠረሹ ያሳፍራል የእዉት ኦሮሞ ተብድሎዋል ትክክል ግን 	1	0	0	0	1	0
amh_dev_track1_14	አየ ማህበረ ቅዱሳን ያ የነጭ ነጠላ በአረንጓዴ ቢጫ ቀይ የሸበረቀው ያማረው ወዴት ተዋችሁት ይህ ፍርሀት የትም አያደርሳችሁም መጨረሻችሁ ሞት ነው	1	0	0	1	0	0
amh_dev_track1_15	በእግዚአብሔር ምን አይነት ጉድ ነው በማርያም ገና በልጅነቷ እንድ አይነት መከራ ማየት ከጀግናም ጀግና የሆነች ልጅ ነች የኢትዮጵያ አሰሪዎች እኩ ግፈኛ ናቸው ማርያምን እንጀራ የምትቆጥር አፈር ትብላ የእኔ ቆንጅ እግዚአብሔር ቀን አለው ማርያምን 😭😭😭ልጅ ያለው ያቀዋል	0	0	0	1	0	0
amh_dev_track1_16	ብልጽግናን እንደምን ያለች ብልግና እንደሆነች አየናት	0	1	0	0	0	0
amh_dev_track1_17	መልካም አባት መልካም መሪ በዘመኔ እንደ አንተ ዶክተር አብይ አላየሁም	0	0	0	0	1	0
amh_dev_track1_18	የተምታታ አካሄድ የትም አያደርሥ ዜጎቻችንን በጅምላ እያቃጠለ ያለው ህገመንግስት ለማንም የሚመች አይመሥልም ድንገት ለመንግስት ከተመቸ እንጃ ያው መት ህዝብ ነው እሱም ቢሆን እንግል	1	0	0	1	0	0
amh_dev_track1_19	ድል ለፍልስጤን ሞት ለወራሪዎቹ የሁዳዊያን	1	1	0	0	0	0
amh_dev_track1_20	ለዕለቱ የተመረጠው አጀንዳ በርካታ አንጓዎች ያሉትና ለአሥርተ ዓመታት መንግሠት ሆኖ የቆየው ፖርቲ ውስጠ ፓርቲ ይዘቱ ከዜጎች መሠረታዊ ፍላጎቶች መሟላት ዴምክራሲን በመብቶችእኩል ተሣትፎና ተጠቃሚነት ኢትዮጵያ የተገነባችበትን ማዕዘናት እሴቶችየእምነት ኃይማኖት መከበ የቋንቋ ባሕል ወጎችና ገንቢ ሥርዐቶች ወዘተ የሀገርን አንድነትን ከማስቀጠል ሉዓላዊነትን እስከ ማስከበር ለዘመናት እንደ ጠበቀ የቆየውን ከቤተሰብ እስከ ቀዬ አካባቢ 	0	0	0	0	0	0
amh_dev_track1_21	ድሮም መንጌ ደንቆሮ የሚተነብይላት ሃገር ኤጭ። መንጌ ረጅም እድሜ የቆየው ግን ደደደብ ስለሆነ ነው። ኣሁንም 80 ዓመት ሊጨምር ይችላል	0	1	0	0	0	0
amh_dev_track1_22	ስለ ሃገሩ ጥሩ የሚያስብና የሚሰራን ሰው አፍኖ መደብድብ ኋላቀርነት ነው ይልቅ በርትታችሁ የተሻለ አስተሳሰብ ለማምጣት ሞክሩ ሰው ከመደብደብ	1	0	0	0	0	0
amh_dev_track1_23	ታዲያ እውነት አይደለም እንዴ ኤርትራ የኢትዮጵያ አካል አልነበረችም  ይሄን መናገር ደግሞ ሻእቢያ መሆን አያስፈልገውም  ተስፋዬ እኮ ኤርትራዊ ነው ለኤርትራ ማድረግ መስራት ግዴታውም ሀላፊነትም ነው መሰለል አይደለም ሞትም ሊያስከፍለው ይችላል ይሔ የማንም ኤርትራዊም ግዴታ ነው አለቀ  ተስፋዬ ድንቅ ሰው ነበር አመለጠን 	0	0	0	1	0	0
amh_dev_track1_24	በጣም እናመሰግናለን የኛንም ሀገር ወደ ሰላም ተመልሶልን ለህዝብ ደስታ ፈጣሪ ያሳየን	0	0	0	0	1	0
amh_dev_track1_25	ሳይንቲስቶች በአጋጣሚ ያገኙት ባክቴሪያ ወባን ለመከላከል የሚያግዝ ሆኖ ተገኘ	0	0	0	0	1	1
amh_dev_track1_26	መቼም አረሳውም ውሸት ሰልችቶኛል ስራ ፈልጉልኝ የሚለውን የፌሰቡክ ቅንብር ዘድሮም አለ መናይነት ዘነድሮ ነው	0	0	0	0	0	0
amh_dev_track1_27	የጓሮ አይጥ ድንገት ቢበሉ መቀጫው መታወቅም አለበት ያው pet አይጥ መንካት አይችሉም! ?	0	0	0	0	0	0
amh_dev_track1_28	እኔም በጣም አመሰግንሃለሁ! ምክንያቱም ለኦሮሞ ህዝብ ጥላቻ መንግስትን ኦሮሙማ ተረኛ እያልሽ ከነባልደረቦችሽ ስትሳደቡ በቅናት ስትለፈልፉ የነበረው የኦሮሞን ህዝብ ከዳር እስከ ዳር አነቃቅተዉ አንድ ስላደረገው ይበልጥ ልፋታቹ እናንተ እንዳሰባቹት ሳይሆን ነገሩ ወዲህ ነው። የቆጡን አዉርድ ብላ የብብብቷን ጣለች ነው ነገሩ	0	1	0	0	0	0
